OBJECTID,Planning_Authority,Tier,Planning_Reference,ITM_X_Coordinate,ITM_Y_Coordinate,Planning_Permission__Units_Perm,Units_Completed_to_Date,Units_Under_Construction,Activity_On_Site,Units_Permitted_But_Not_Commenc,Planning_Search_URL
1,Dublin City Council,1,2792/14,714587,734357,15,0,15,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
2,Dublin City Council,1,2078/11,713809,734563,25,14,11,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
3,Dublin City Council,1,3486/17,721878,741034,88,0,43,Y,45,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
4,Dublin City Council,1,3117/16,722691,741211,75,0,75,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
5,Dublin City Council,1,3802/14,722549,741200,99,65,24,Y,10,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
6,Dublin City Council,1,2610/16,722622,741071,113,45,53,Y,15,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
7,Dublin City Council,1,3776/15,722623,740834,84,0,84,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
8,Dublin City Council,1,2114/15,721729,741213,71,53,18,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
9,Dublin City Council,1,2401/13,720015,736064,17,0,17,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
10,Dublin City Council,1,2651/14,719006,736775,18,10,8,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
11,Dublin City Council,1,2945/15,716529,736523,39,0,39,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
12,Dublin City Council,1,2991/15,716856,736739,137,31,106,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
13,Dublin City Council,1,4242/15,720135,737584,75,0,75,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
14,Dublin City Council,1,4105/15,716788,737304,97,6,15,Y,76,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
15,Dublin City Council,1,2679/16,721878,741224,93,58,25,Y,10,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
16,Dublin City Council,1,3604/12,711702,737654,208,0,73,Y,135,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
17,Dublin City Council,1,3021/14,715491,739140,42,0,42,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
18,Dublin City Council,1,3069/14,712270,737583,243,147,11,Y,85,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
19,Dublin City Council,1,2237/15,713259,737082,24,0,13,Y,11,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
20,Dublin City Council,1,2217/15,711847,737658,71,0,71,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
21,Dublin City Council,1,4387/03 ,713938,740806,128,0,128,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
22,Dublin City Council,1,2414/16,714213,740784,103,0,103,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
23,Dublin City Council,1,2593/14,712773,734171,163,59,93,Y,11,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
24,Dublin City Council,1,3632/16,712773,734171,13,0,13,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
25,Dublin City Council,1,3871/14,714063,730393,51,31,20,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
26,Dublin City Council,1,4214/16,714706,733644,12,0,12,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
27,Dublin City Council,1,3326/16,715329,730068,209,38,114,Y,57,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
28,Dublin City Council,1,3012/14,715780,730013,36,0,13,Y,23,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
29,Dublin City Council,1,3664/14,716932,733035,12,0,12,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
30,Dublin City Council,1,4015/09,717662,732823,315,0,315,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
31,Dublin City Council,1,3386/16,717820,732872,215,0,215,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
32,Dublin City Council,1,3248/14,716848,732072,13,1,12,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
33,Dublin City Council,1,4798/07,717728,732723,86,0,86,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
34,Dublin City Council,1,DSDZ2546/15,717739,734191,181,0,181,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
35,Dublin City Council,1,DSDZ2663/16,717697,734166,28,0,28,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
36,Dublin City Council,1,DSDZ3777/15,717674,734122,40,0,40,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
37,Dublin City Council,1,DSDZ3111/16,717589,734231,72,0,72,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
38,Dublin City Council,1,DSDZ3197/16,717500,734142,122,0,122,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
39,Dublin City Council,1,4443/16,715724,732654,184,0,79,Y,105,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
40,Dublin City Council,1,2128/17,715290,730163,22,0,22,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
41,Dublin City Council,1,2870/17,714221,731511,197,0,197,Y,0,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
42,Dublin City Council,1,2313/12,714585,735616,86,0,0,N,86,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
43,Dublin City Council,1,2757/13,716086,735725,55,0,0,N,55,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
44,Dublin City Council,1,2863/11,716765,735004,115,0,0,N,115,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
45,Dublin City Council,1,2402/14,714876,736326,28,0,0,N,28,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
46,Dublin City Council,1,3280/15,714335,735624,10,0,0,N,10,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
47,Dublin City Council,1,2882/15,716748,735269,10,0,0,N,10,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
48,Dublin City Council,1,DSDZ3367/15,717452,734746,165,0,0,N,165,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
49,Dublin City Council,1,DSDZ2496/17,717665,734565,171,0,0,N,171,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
